"Id","Prediction1"
"0","38"
"1","54"
"2","33"
"3","85"
"4","31"
"5","50"
"6","16"
"7","31"
"8","42"
"9","85"
"10","39"
"11","48"
"12","23"
"13","75"
"14","39"
"15","4"
"16","27"
"17","99"
"18","44"
"19","6"
"20","67"
"21","53"
"22","10"
"23","64"
"24","7"
"25","84"
"26","69"
"27","46"
"28","27"
"29","15"
"30","56"
"31","69"
"32","45"
"33","98"
"34","74"
"35","65"
"36","71"
"37","97"
"38","47"
"39","87"
"40","69"
"41","37"
"42","77"
"43","51"
"44","44"
"45","26"
"46","23"
"47","77"
"48","22"
"49","21"
"50","19"
"51","22"
"52","91"
"53","40"
"54","48"
"55","61"
"56","71"
"57","43"
"58","55"
"59","78"
"60","98"
"61","90"
"62","24"
"63","35"
"64","42"
"65","13"
"66","20"
"67","93"
"68","81"
"69","80"
"70","13"
"71","97"
"72","84"
"73","5"
"74","99"
"75","21"
"76","67"
"77","24"
"78","47"
"79","72"
"80","4"
"81","30"
"82","53"
"83","77"
"84","82"
"85","3"
"86","41"
"87","81"
"88","31"
"89","71"
"90","73"
"91","80"
"92","98"
"93","46"
"94","58"
"95","42"
"96","85"
"97","41"
"98","39"
"99","32"
"100","63"
"101","4"
"102","98"
"103","53"
"104","35"
"105","41"
"106","65"
"107","74"
"108","36"
"109","77"
"110","43"
"111","31"
"112","27"
"113","8"
"114","64"
"115","71"
"116","25"
"117","82"
"118","45"
"119","46"
"120","98"
"121","73"
"122","51"
"123","84"
"124","92"
"125","2"
"126","83"
"127","77"
"128","2"
"129","81"
"130","34"
"131","49"
"132","8"
"133","69"
"134","87"
"135","25"
"136","38"
"137","83"
"138","8"
"139","39"
"140","74"
"141","83"
"142","48"
"143","96"
"144","65"
"145","41"
"146","64"
"147","48"
"148","47"
"149","4"
"150","14"
"151","29"
"152","33"
"153","86"
"154","38"
"155","8"
"156","41"
"157","58"
"158","63"
"159","75"
"160","49"
"161","61"
"162","7"
"163","10"
"164","50"
"165","83"
"166","94"
"167","1"
"168","89"
"169","82"
"170","80"
"171","53"
"172","55"
"173","58"
"174","53"
"175","22"
"176","33"
"177","87"
"178","55"
"179","42"
"180","86"
"181","65"
"182","58"
"183","77"
"184","57"
"185","89"
"186","91"
"187","63"
"188","10"
"189","29"
"190","55"
"191","46"
"192","92"
"193","58"
"194","35"
"195","91"
"196","78"
"197","65"
"198","59"
"199","12"
"200","27"
"201","39"
"202","98"
"203","66"
"204","0"
"205","8"
"206","36"
"207","90"
"208","24"
"209","69"
"210","70"
"211","26"
"212","21"
"213","13"
"214","95"
"215","84"
"216","96"
"217","94"
"218","20"
"219","72"
"220","97"
"221","67"
"222","18"
"223","66"
"224","81"
"225","76"
"226","69"
"227","2"
"228","7"
"229","88"
"230","41"
"231","92"
"232","69"
"233","53"
"234","49"
"235","1"
"236","75"
"237","53"
"238","90"
"239","7"
"240","68"
"241","29"
"242","67"
"243","50"
"244","64"
"245","35"
"246","90"
"247","57"
"248","38"
"249","16"
"250","34"
"251","33"
"252","46"
"253","67"
"254","54"
"255","73"
"256","68"
"257","37"
"258","29"
"259","71"
"260","1"
"261","32"
"262","63"
"263","98"
"264","7"
"265","46"
"266","84"
"267","90"
"268","6"
"269","80"
"270","63"
"271","82"
"272","13"
"273","81"
"274","93"
"275","95"
"276","24"
"277","72"
"278","39"
"279","7"
"280","62"
"281","45"
"282","83"
"283","88"
"284","94"
"285","70"
"286","97"
"287","26"
"288","7"
"289","70"
"290","46"
"291","30"
"292","39"
"293","52"
"294","43"
"295","99"
"296","71"
"297","7"
"298","48"
"299","36"
"300","74"
"301","55"
"302","72"
"303","56"
"304","67"
"305","94"
"306","0"
"307","8"
"308","8"
"309","51"
"310","66"
"311","49"
"312","25"
"313","80"
"314","38"
"315","21"
"316","70"
"317","55"
"318","42"
"319","20"
"320","73"
"321","8"
"322","52"
"323","56"
"324","47"
"325","32"
"326","13"
"327","3"
"328","19"
"329","72"
"330","43"
"331","55"
"332","21"
"333","95"
"334","15"
"335","78"
"336","75"
"337","49"
"338","80"
"339","43"
"340","96"
"341","13"
"342","18"
"343","47"
"344","36"
"345","11"
"346","11"
"347","14"
"348","26"
"349","99"
"350","29"
"351","80"
"352","25"
"353","76"
"354","88"
"355","16"
"356","50"
"357","91"
"358","99"
"359","72"
"360","48"
"361","45"
"362","80"
"363","25"
"364","86"
"365","54"
"366","69"
