"Id","Prediction1"
"0","38"
"1","56"
"2","17"
"3","85"
"4","3"
"5","64"
"6","16"
"7","31"
"8","64"
"9","97"
"10","87"
"11","48"
"12","23"
"13","75"
"14","39"
"15","66"
"16","27"
"17","99"
"18","18"
"19","6"
"20","67"
"21","92"
"22","26"
"23","64"
"24","14"
"25","87"
"26","9"
"27","16"
"28","27"
"29","15"
"30","56"
"31","69"
"32","45"
"33","66"
"34","63"
"35","65"
"36","23"
"37","66"
"38","56"
"39","87"
"40","41"
"41","37"
"42","44"
"43","51"
"44","44"
"45","26"
"46","6"
"47","10"
"48","22"
"49","21"
"50","19"
"51","78"
"52","38"
"53","28"
"54","48"
"55","61"
"56","60"
"57","43"
"58","26"
"59","66"
"60","98"
"61","90"
"62","24"
"63","41"
"64","42"
"65","87"
"66","20"
"67","18"
"68","81"
"69","43"
"70","86"
"71","97"
"72","39"
"73","5"
"74","95"
"75","21"
"76","67"
"77","24"
"78","82"
"79","72"
"80","64"
"81","30"
"82","83"
"83","4"
"84","82"
"85","51"
"86","41"
"87","13"
"88","31"
"89","71"
"90","1"
"91","18"
"92","43"
"93","35"
"94","58"
"95","42"
"96","85"
"97","41"
"98","86"
"99","91"
"100","26"
"101","43"
"102","46"
"103","53"
"104","98"
"105","41"
"106","65"
"107","60"
"108","50"
"109","67"
"110","43"
"111","31"
"112","73"
"113","99"
"114","43"
"115","71"
"116","25"
"117","82"
"118","26"
"119","11"
"120","98"
"121","45"
"122","62"
"123","84"
"124","92"
"125","35"
"126","83"
"127","26"
"128","80"
"129","81"
"130","34"
"131","49"
"132","8"
"133","69"
"134","87"
"135","25"
"136","38"
"137","83"
"138","8"
"139","39"
"140","74"
"141","83"
"142","48"
"143","96"
"144","65"
"145","41"
"146","75"
"147","48"
"148","52"
"149","43"
"150","6"
"151","30"
"152","33"
"153","86"
"154","65"
"155","8"
"156","41"
"157","58"
"158","63"
"159","25"
"160","71"
"161","22"
"162","7"
"163","83"
"164","50"
"165","39"
"166","94"
"167","1"
"168","85"
"169","53"
"170","66"
"171","57"
"172","80"
"173","58"
"174","62"
"175","61"
"176","33"
"177","2"
"178","74"
"179","88"
"180","39"
"181","80"
"182","58"
"183","77"
"184","57"
"185","26"
"186","65"
"187","42"
"188","10"
"189","29"
"190","4"
"191","21"
"192","92"
"193","58"
"194","11"
"195","91"
"196","66"
"197","65"
"198","59"
"199","12"
"200","27"
"201","39"
"202","98"
"203","75"
"204","92"
"205","8"
"206","36"
"207","90"
"208","4"
"209","69"
"210","70"
"211","45"
"212","4"
"213","87"
"214","95"
"215","59"
"216","96"
"217","94"
"218","20"
"219","72"
"220","97"
"221","67"
"222","44"
"223","66"
"224","81"
"225","76"
"226","93"
"227","55"
"228","43"
"229","88"
"230","85"
"231","54"
"232","69"
"233","53"
"234","49"
"235","1"
"236","75"
"237","53"
"238","90"
"239","7"
"240","68"
"241","29"
"242","78"
"243","50"
"244","72"
"245","98"
"246","90"
"247","57"
"248","34"
"249","16"
"250","34"
"251","33"
"252","98"
"253","75"
"254","54"
"255","30"
"256","90"
"257","37"
"258","97"
"259","71"
"260","1"
"261","67"
"262","66"
"263","45"
"264","43"
"265","46"
"266","34"
"267","90"
"268","66"
"269","80"
"270","42"
"271","82"
"272","13"
"273","81"
"274","93"
"275","72"
"276","24"
"277","63"
"278","39"
"279","7"
"280","62"
"281","57"
"282","84"
"283","34"
"284","94"
"285","70"
"286","97"
"287","93"
"288","41"
"289","70"
"290","98"
"291","27"
"292","39"
"293","52"
"294","43"
"295","99"
"296","99"
"297","7"
"298","48"
"299","36"
"300","38"
"301","66"
"302","72"
"303","56"
"304","67"
"305","5"
"306","0"
"307","8"
"308","16"
"309","8"
"310","66"
"311","37"
"312","25"
"313","80"
"314","44"
"315","21"
"316","70"
"317","4"
"318","42"
"319","19"
"320","73"
"321","89"
"322","52"
"323","56"
"324","47"
"325","67"
"326","81"
"327","3"
"328","19"
"329","15"
"330","43"
"331","21"
"332","98"
"333","25"
"334","15"
"335","78"
"336","75"
"337","49"
"338","80"
"339","43"
"340","96"
"341","13"
"342","18"
"343","52"
"344","36"
"345","11"
"346","11"
"347","14"
"348","26"
"349","99"
"350","29"
"351","65"
"352","25"
"353","76"
"354","88"
"355","40"
"356","4"
"357","55"
"358","99"
"359","72"
"360","48"
"361","45"
"362","65"
"363","89"
"364","70"
"365","54"
"366","69"
"367","58"
"368","91"
"369","54"
"370","20"
"371","7"
"372","72"
"373","88"
"374","39"
"375","4"
"376","32"
"377","66"
"378","99"
"379","28"
"380","70"
"381","62"
"382","73"
"383","67"
"384","93"
"385","17"
"386","91"
"387","88"
"388","28"
"389","43"
"390","6"
"391","4"
"392","98"
"393","69"
"394","21"
"395","71"
"396","96"
"397","52"
"398","17"
"399","6"
"400","13"
"401","50"
"402","95"
"403","73"
"404","99"
"405","13"
"406","65"
"407","1"
"408","58"
"409","27"
"410","89"
"411","32"
"412","44"
"413","9"
"414","34"
"415","30"
"416","5"
"417","40"
"418","36"
"419","4"
"420","52"
"421","52"
"422","38"
"423","72"
"424","58"
"425","85"
"426","43"
"427","14"
"428","80"
"429","46"
"430","61"
"431","87"
"432","5"
"433","60"
"434","3"
"435","99"
"436","4"
"437","26"
"438","20"
"439","72"
"440","18"
"441","81"
"442","37"
"443","97"
"444","81"
"445","94"
"446","62"
"447","44"
"448","14"
"449","98"
"450","5"
"451","39"
"452","53"
"453","35"
"454","37"
"455","91"
"456","81"
"457","85"
"458","1"
"459","27"
"460","42"
"461","39"
"462","26"
"463","26"
"464","5"
"465","80"
"466","96"
"467","15"
"468","81"
"469","6"
"470","43"
"471","38"
"472","15"
"473","63"
"474","41"
"475","61"
"476","99"
"477","64"
"478","30"
"479","14"
"480","45"
"481","23"
"482","98"
"483","61"
"484","6"
"485","43"
"486","76"
"487","87"
"488","29"
"489","29"
"490","46"
"491","25"
"492","30"
"493","2"
"494","99"
"495","6"
"496","15"
"497","61"
"498","38"
"499","5"
"500","43"
"501","18"
"502","82"
"503","43"
"504","56"
"505","96"
"506","51"
"507","2"
"508","5"
"509","60"
"510","43"
"511","6"
"512","27"
"513","4"
"514","43"
"515","90"
"516","35"
"517","60"
"518","65"
"519","45"
"520","92"
"521","83"
"522","53"
"523","61"
"524","6"
"525","83"
"526","4"
"527","85"
"528","34"
"529","98"
"530","95"
"531","73"
"532","55"
"533","12"
"534","82"
"535","83"
"536","67"
"537","71"
"538","26"
"539","52"
"540","30"
"541","15"
"542","98"
"543","6"
"544","22"
"545","61"
"546","42"
"547","27"
"548","47"
"549","1"
"550","81"
"551","35"
"552","28"
"553","20"
"554","4"
"555","10"
"556","35"
"557","66"
"558","92"
"559","1"
"560","41"
"561","31"
"562","24"
"563","5"
"564","53"
"565","29"
"566","96"
"567","25"
"568","42"
"569","28"
"570","85"
"571","38"
"572","47"
"573","62"
"574","97"
"575","27"
"576","6"
"577","54"
"578","78"
"579","48"
"580","52"
"581","26"
"582","15"
"583","38"
"584","14"
"585","99"
"586","54"
"587","43"
"588","5"
"589","47"
"590","30"
"591","52"
"592","91"
"593","61"
"594","56"
"595","55"
"596","27"
"597","1"
"598","39"
"599","52"
"600","0"
"601","51"
"602","69"
"603","87"
"604","93"
"605","31"
"606","78"
"607","94"
"608","73"
"609","61"
"610","67"
"611","56"
"612","75"
"613","11"
"614","42"
"615","66"
"616","85"
"617","35"
"618","57"
"619","62"
"620","29"
"621","43"
"622","92"
"623","32"
"624","99"
"625","81"
"626","52"
"627","75"
"628","8"
"629","57"
"630","82"
"631","92"
"632","54"
"633","6"
"634","37"
"635","54"
"636","95"
"637","24"
"638","6"
"639","70"
"640","8"
"641","23"
"642","73"
"643","70"
"644","28"
"645","64"
"646","81"
"647","40"
"648","33"
"649","9"
"650","92"
"651","59"
"652","13"
"653","85"
"654","13"
"655","53"
"656","1"
"657","15"
"658","27"
"659","91"
"660","7"
"661","24"
"662","91"
"663","82"
"664","86"
"665","20"
"666","38"
"667","76"
"668","66"
"669","56"
"670","34"
"671","37"
"672","1"
"673","48"
"674","21"
"675","72"
"676","88"
"677","85"
"678","38"
"679","60"
"680","13"
"681","23"
"682","89"
"683","27"
"684","29"
"685","15"
"686","24"
"687","90"
"688","52"
"689","15"
"690","99"
"691","0"
"692","21"
"693","20"
"694","21"
"695","43"
"696","27"
"697","43"
"698","88"
"699","4"
"700","59"
"701","99"
"702","33"
"703","78"
"704","86"
"705","69"
"706","54"
"707","4"
"708","93"
"709","90"
"710","39"
"711","24"
"712","75"
"713","98"
"714","70"
"715","8"
"716","1"
"717","15"
"718","91"
"719","27"
"720","88"
"721","66"
"722","36"
"723","26"
"724","30"
"725","4"
"726","13"
"727","92"
"728","33"
"729","34"
"730","12"
"731","26"
"732","63"
"733","39"
"734","22"
"735","84"
"736","11"
"737","97"
"738","61"
"739","9"
"740","49"
"741","91"
"742","41"
"743","89"
"744","21"
"745","44"
"746","86"
"747","75"
"748","6"
"749","80"
"750","91"
"751","10"
"752","93"
"753","28"
"754","4"
"755","11"
"756","34"
"757","40"
"758","93"
"759","4"
"760","29"
"761","26"
"762","52"
"763","7"
"764","82"
"765","43"
"766","68"
"767","61"
"768","16"
"769","89"
"770","7"
"771","52"
"772","10"
"773","45"
"774","45"
"775","55"
"776","88"
"777","42"
"778","54"
"779","96"
"780","41"
"781","89"
"782","23"
"783","2"
"784","95"
"785","95"
"786","92"
"787","68"
"788","49"
"789","51"
"790","8"
"791","48"
"792","55"
"793","64"
"794","88"
"795","3"
"796","98"
"797","74"
"798","82"
"799","68"
"800","41"
"801","32"
"802","80"
"803","81"
"804","75"
"805","70"
"806","36"
"807","18"
"808","70"
"809","1"
"810","14"
"811","30"
"812","40"
"813","41"
"814","19"
"815","41"
"816","60"
"817","98"
"818","28"
"819","36"
"820","64"
"821","52"
"822","59"
"823","29"
"824","85"
"825","78"
"826","40"
"827","83"
"828","8"
"829","18"
"830","87"
"831","0"
"832","58"
"833","73"
"834","21"
"835","26"
"836","91"
"837","52"
"838","66"
"839","66"
"840","1"
"841","83"
"842","25"
"843","13"
"844","86"
"845","48"
"846","95"
"847","14"
"848","90"
"849","69"
"850","51"
"851","40"
"852","27"
"853","76"
"854","55"
"855","36"
"856","76"
"857","99"
"858","21"
"859","96"
"860","27"
"861","30"
"862","48"
"863","41"
"864","81"
"865","92"
"866","65"
"867","51"
"868","19"
"869","93"
"870","38"
"871","53"
"872","13"
"873","87"
"874","90"
"875","95"
"876","60"
"877","3"
"878","71"
"879","94"
"880","57"
"881","15"
"882","2"
"883","84"
"884","66"
"885","79"
"886","26"
"887","68"
"888","16"
"889","28"
"890","56"
"891","91"
"892","31"
"893","77"
"894","97"
"895","1"
"896","94"
"897","49"
"898","18"
"899","85"
"900","0"
"901","25"
"902","18"
"903","89"
"904","60"
"905","15"
"906","79"
"907","70"
"908","31"
"909","86"
"910","2"
"911","12"
"912","15"
"913","19"
"914","16"
"915","62"
"916","6"
"917","66"
"918","52"
"919","72"
"920","83"
"921","79"
"922","74"
"923","96"
"924","16"
"925","27"
"926","33"
"927","84"
"928","90"
"929","15"
"930","3"
"931","23"
"932","15"
"933","52"
"934","58"
"935","45"
"936","51"
"937","12"
"938","68"
"939","0"
"940","81"
"941","90"
"942","98"
"943","15"
"944","86"
"945","58"
"946","87"
"947","16"
"948","74"
"949","48"
"950","0"
"951","80"
"952","2"
"953","80"
"954","47"
"955","80"
"956","73"
"957","26"
"958","31"
"959","58"
"960","81"
"961","36"
"962","70"
"963","38"
"964","91"
"965","46"
"966","12"
"967","37"
"968","97"
"969","9"
"970","15"
"971","5"
"972","82"
"973","52"
"974","86"
"975","33"
"976","48"
"977","41"
"978","56"
"979","96"
"980","39"
"981","26"
"982","24"
"983","69"
"984","54"
"985","90"
"986","50"
"987","91"
"988","71"
"989","56"
"990","68"
"991","26"
"992","77"
"993","6"
"994","4"
"995","68"
"996","7"
"997","4"
"998","60"
"999","57"
"1000","17"
"1001","71"
"1002","46"
