"Id","Prediction1"
"0","34"
"1","54"
"2","96"
"3","85"
"4","3"
"5","64"
"6","16"
"7","31"
"8","42"
"9","38"
"10","25"
"11","48"
"12","23"
"13","75"
"14","39"
"15","27"
"16","27"
"17","99"
"18","18"
"19","6"
"20","67"
"21","53"
"22","10"
"23","64"
"24","24"
"25","87"
"26","9"
"27","16"
"28","27"
"29","15"
"30","56"
"31","69"
"32","29"
"33","11"
"34","74"
"35","94"
"36","71"
"37","66"
"38","37"
"39","87"
"40","87"
"41","51"
"42","80"
"43","1"
"44","44"
"45","45"
"46","88"
"47","10"
"48","22"
"49","21"
"50","19"
"51","97"
"52","27"
"53","45"
"54","48"
"55","61"
"56","60"
"57","43"
"58","4"
"59","19"
"60","98"
"61","46"
"62","24"
"63","84"
"64","42"
"65","87"
"66","20"
"67","77"
"68","81"
"69","88"
"70","25"
"71","97"
"72","8"
"73","5"
"74","99"
"75","30"
"76","67"
"77","24"
"78","62"
"79","30"
"80","64"
"81","30"
"82","53"
"83","55"
"84","82"
"85","15"
"86","41"
"87","81"
"88","3"
"89","71"
"90","1"
"91","80"
"92","98"
"93","2"
"94","58"
"95","89"
"96","85"
"97","41"
"98","39"
"99","93"
"100","93"
"101","93"
"102","98"
"103","53"
"104","98"
"105","89"
"106","67"
"107","60"
"108","50"
"109","67"
"110","88"
"111","31"
"112","73"
"113","44"
"114","63"
"115","71"
"116","25"
"117","82"
"118","26"
"119","98"
"120","98"
"121","45"
"122","62"
"123","84"
"124","92"
"125","35"
"126","0"
"127","88"
"128","2"
"129","81"
"130","34"
"131","49"
"132","8"
"133","69"
"134","87"
"135","25"
"136","38"
"137","83"
"138","8"
"139","39"
"140","74"
"141","0"
"142","48"
"143","96"
"144","65"
"145","41"
"146","19"
"147","48"
"148","59"
"149","43"
"150","6"
"151","40"
"152","33"
"153","86"
"154","65"
"155","8"
"156","41"
"157","48"
"158","63"
"159","25"
"160","39"
"161","22"
"162","7"
"163","83"
"164","50"
"165","29"
"166","94"
"167","1"
"168","89"
"169","53"
"170","38"
"171","53"
"172","80"
"173","58"
"174","53"
"175","61"
"176","64"
"177","25"
"178","55"
"179","88"
"180","39"
"181","80"
"182","58"
"183","77"
"184","57"
"185","44"
"186","5"
"187","63"
"188","40"
"189","29"
"190","4"
"191","46"
"192","92"
"193","58"
"194","11"
"195","91"
"196","78"
"197","65"
"198","59"
"199","12"
"200","27"
"201","39"
"202","98"
"203","66"
"204","70"
"205","8"
"206","36"
"207","90"
"208","24"
"209","69"
"210","53"
"211","45"
"212","3"
"213","5"
"214","95"
"215","59"
"216","96"
"217","94"
"218","20"
"219","3"
"220","97"
"221","67"
"222","44"
"223","66"
"224","81"
"225","76"
"226","41"
"227","77"
"228","6"
"229","88"
"230","85"
"231","92"
"232","69"
"233","53"
"234","49"
"235","1"
"236","75"
"237","53"
"238","81"
"239","7"
"240","68"
"241","29"
"242","78"
"243","50"
"244","3"
"245","46"
"246","90"
"247","53"
"248","38"
"249","16"
"250","34"
"251","33"
"252","98"
"253","32"
"254","54"
"255","30"
"256","90"
"257","17"
"258","97"
"259","71"
"260","1"
"261","91"
"262","64"
"263","45"
"264","15"
"265","46"
"266","84"
"267","90"
"268","75"
"269","80"
"270","63"
"271","82"
"272","58"
"273","81"
"274","93"
"275","72"
"276","7"
"277","97"
"278","39"
"279","7"
"280","62"
"281","39"
"282","25"
"283","88"
"284","94"
"285","70"
"286","97"
"287","26"
"288","41"
"289","70"
"290","98"
"291","27"
"292","5"
"293","59"
"294","43"
"295","99"
"296","78"
"297","7"
"298","48"
"299","36"
"300","74"
"301","66"
"302","3"
"303","56"
"304","67"
"305","94"
"306","0"
"307","8"
"308","16"
"309","84"
"310","66"
"311","90"
"312","25"
"313","55"
"314","50"
"315","21"
"316","70"
"317","79"
"318","42"
"319","15"
"320","73"
"321","89"
"322","59"
"323","56"
"324","47"
"325","67"
"326","81"
"327","85"
"328","19"
"329","72"
"330","4"
"331","90"
"332","35"
"333","5"
"334","15"
"335","78"
"336","75"
"337","49"
"338","80"
"339","88"
"340","96"
"341","13"
"342","18"
"343","52"
"344","43"
"345","46"
"346","3"
"347","4"
"348","93"
"349","99"
"350","29"
"351","36"
"352","25"
"353","76"
"354","88"
"355","40"
"356","4"
"357","55"
"358","99"
"359","72"
"360","48"
"361","45"
"362","63"
"363","89"
"364","83"
"365","54"
"366","69"
"367","58"
"368","91"
"369","54"
"370","20"
"371","7"
"372","9"
"373","45"
"374","39"
"375","80"
"376","32"
"377","65"
"378","99"
"379","99"
"380","70"
"381","62"
"382","73"
"383","67"
"384","93"
"385","17"
"386","73"
"387","88"
"388","28"
"389","43"
"390","7"
"391","74"
"392","46"
"393","69"
"394","21"
"395","23"
"396","96"
"397","52"
"398","17"
"399","6"
"400","13"
"401","50"
"402","95"
"403","99"
"404","99"
"405","13"
"406","65"
"407","1"
"408","58"
"409","27"
"410","89"
"411","32"
"412","44"
"413","9"
"414","11"
"415","30"
"416","5"
"417","5"
"418","36"
"419","63"
"420","96"
"421","52"
"422","38"
"423","72"
"424","58"
"425","12"
"426","43"
"427","92"
"428","80"
"429","79"
"430","61"
"431","87"
"432","5"
"433","60"
"434","3"
"435","99"
"436","4"
"437","44"
"438","20"
"439","69"
"440","18"
"441","81"
"442","37"
"443","97"
"444","13"
"445","94"
"446","62"
"447","44"
"448","14"
"449","98"
"450","5"
"451","39"
"452","53"
"453","2"
"454","37"
"455","91"
"456","81"
"457","85"
"458","1"
"459","27"
"460","88"
"461","39"
"462","45"
"463","88"
"464","5"
"465","79"
"466","96"
"467","34"
"468","84"
"469","7"
"470","36"
"471","38"
"472","31"
"473","63"
"474","8"
"475","10"
"476","99"
"477","63"
"478","30"
"479","14"
"480","45"
"481","39"
"482","98"
"483","61"
"484","51"
"485","43"
"486","76"
"487","87"
"488","29"
"489","34"
"490","46"
"491","25"
"492","30"
"493","2"
"494","99"
"495","6"
"496","15"
"497","61"
"498","38"
"499","5"
"500","43"
"501","18"
"502","82"
"503","6"
"504","56"
"505","96"
"506","51"
"507","16"
"508","12"
"509","60"
"510","89"
"511","79"
"512","27"
"513","4"
"514","43"
"515","90"
"516","35"
"517","60"
"518","65"
"519","75"
"520","92"
"521","33"
"522","53"
"523","61"
"524","6"
"525","83"
"526","42"
"527","85"
"528","88"
"529","19"
"530","39"
"531","99"
"532","38"
"533","12"
"534","82"
"535","1"
"536","67"
"537","71"
"538","45"
"539","52"
"540","30"
"541","93"
"542","98"
"543","6"
"544","22"
"545","61"
"546","42"
"547","90"
"548","47"
"549","1"
"550","81"
"551","2"
"552","84"
"553","20"
"554","50"
"555","0"
"556","35"
"557","66"
"558","92"
"559","1"
"560","41"
"561","31"
"562","24"
"563","84"
"564","53"
"565","29"
"566","33"
"567","25"
"568","88"
"569","28"
"570","85"
"571","27"
"572","96"
"573","62"
"574","97"
"575","27"
"576","77"
"577","54"
"578","45"
"579","48"
"580","52"
"581","32"
"582","15"
"583","38"
"584","14"
"585","10"
"586","70"
"587","43"
"588","5"
"589","47"
"590","93"
"591","59"
"592","44"
"593","61"
"594","56"
"595","80"
"596","27"
"597","1"
"598","22"
"599","59"
"600","0"
"601","51"
"602","69"
"603","87"
"604","1"
"605","31"
"606","78"
"607","94"
"608","93"
"609","88"
"610","67"
"611","56"
"612","77"
"613","11"
"614","42"
"615","38"
"616","85"
"617","2"
"618","57"
"619","62"
"620","6"
"621","43"
"622","92"
"623","63"
"624","99"
"625","12"
"626","52"
"627","65"
"628","8"
"629","57"
"630","82"
"631","1"
"632","54"
"633","26"
"634","37"
"635","54"
"636","49"
"637","24"
"638","45"
"639","62"
"640","8"
"641","49"
"642","67"
"643","54"
"644","28"
"645","64"
"646","81"
"647","46"
"648","33"
"649","57"
"650","62"
"651","59"
"652","8"
"653","85"
"654","13"
"655","53"
"656","1"
"657","17"
"658","27"
"659","91"
"660","7"
"661","78"
"662","91"
"663","82"
"664","86"
"665","20"
"666","38"
"667","76"
"668","64"
"669","56"
"670","34"
"671","37"
"672","67"
"673","48"
"674","21"
"675","72"
"676","88"
"677","85"
"678","38"
"679","17"
"680","13"
"681","71"
"682","89"
"683","44"
"684","29"
"685","15"
"686","24"
"687","90"
"688","52"
"689","15"
"690","42"
"691","0"
"692","55"
"693","20"
"694","21"
"695","43"
"696","27"
"697","43"
"698","88"
"699","85"
"700","59"
"701","99"
"702","65"
"703","78"
"704","86"
"705","69"
"706","62"
"707","4"
"708","42"
"709","90"
"710","39"
"711","24"
"712","75"
"713","15"
"714","62"
"715","8"
"716","92"
"717","15"
"718","78"
"719","78"
"720","88"
"721","66"
"722","36"
"723","14"
"724","73"
"725","63"
"726","13"
"727","92"
"728","59"
"729","34"
"730","12"
"731","88"
"732","41"
"733","39"
"734","86"
"735","88"
"736","11"
"737","97"
"738","61"
"739","9"
"740","49"
"741","91"
"742","41"
"743","89"
"744","3"
"745","42"
"746","86"
"747","75"
"748","6"
"749","87"
"750","91"
"751","0"
"752","93"
"753","28"
"754","4"
"755","11"
"756","19"
"757","40"
"758","55"
"759","63"
"760","29"
"761","26"
"762","52"
"763","7"
"764","82"
"765","88"
"766","68"
"767","10"
"768","94"
"769","89"
"770","77"
"771","52"
"772","10"
"773","45"
"774","45"
"775","55"
"776","88"
"777","42"
"778","54"
"779","33"
"780","41"
"781","89"
"782","71"
"783","2"
"784","95"
"785","95"
"786","70"
"787","68"
"788","49"
"789","51"
"790","8"
"791","48"
"792","80"
"793","10"
"794","88"
"795","3"
"796","46"
"797","7"
"798","82"
"799","68"
"800","19"
"801","77"
"802","55"
"803","58"
"804","75"
"805","70"
"806","57"
"807","80"
"808","70"
"809","1"
"810","14"
"811","73"
"812","40"
"813","41"
"814","19"
"815","41"
"816","60"
"817","38"
"818","94"
"819","64"
"820","64"
"821","52"
"822","59"
"823","29"
"824","85"
"825","78"
"826","65"
"827","96"
"828","8"
"829","18"
"830","13"
"831","53"
"832","58"
"833","73"
"834","21"
"835","26"
"836","91"
"837","52"
"838","66"
"839","97"
"840","79"
"841","83"
"842","25"
"843","13"
"844","86"
"845","48"
"846","95"
"847","14"
"848","90"
"849","69"
"850","1"
"851","70"
"852","27"
"853","76"
"854","55"
"855","36"
"856","76"
"857","42"
"858","3"
"859","96"
"860","27"
"861","73"
"862","89"
"863","41"
"864","81"
"865","53"
"866","65"
"867","51"
"868","3"
"869","77"
"870","38"
"871","53"
"872","13"
"873","39"
"874","90"
"875","95"
"876","60"
"877","3"
"878","87"
"879","94"
"880","57"
"881","15"
"882","2"
"883","84"
"884","66"
"885","79"
"886","26"
"887","68"
"888","16"
"889","28"
"890","56"
"891","91"
"892","98"
"893","24"
"894","97"
"895","1"
"896","94"
"897","29"
"898","18"
"899","85"
"900","0"
"901","25"
"902","68"
"903","89"
"904","71"
"905","15"
"906","79"
"907","47"
"908","3"
